Timestamp,Time_Seconds,LoadCell1_Raw,LoadCell1_Delta,LoadCell2_Raw,LoadCell2_Delta
2026-02-15 14:44:13.844,55.867,-2267357,-1687087,1614185,2189216
2026-02-15 14:44:14.038,56.060,-2244034,-1663764,1567781,2142812
2026-02-15 14:44:14.231,56.254,-3219246,-2638976,-4802103,-4227073
2026-02-15 14:44:14.424,56.447,-1327759,-747489,-4198931,-3623900
2026-02-15 14:44:14.618,56.640,-2253047,-1672777,-2227208,-1652178
2026-02-15 14:44:14.811,56.833,-98193,482077,1571732,2146762
2026-02-15 14:44:15.004,57.027,-2244850,-1664580,1568553,2143583
2026-02-15 14:44:15.198,57.220,-2251295,-1671025,1573947,2148977
2026-02-15 14:44:15.391,57.413,-2257019,-1676749,4431837,5006868
2026-02-15 14:44:15.584,57.607,-2248841,-1668571,-6004364,-5429333
2026-02-15 14:44:15.777,57.800,-2272456,-1692186,1570657,2145688
2026-02-15 14:44:15.971,57.993,-2243390,-1663120,-6018705,-5443675
2026-02-15 14:44:16.164,58.187,-2249487,-1669217,1575343,2150373
2026-02-15 14:44:16.357,58.380,-2241866,-1661596,1574249,2149280
2026-02-15 14:44:16.551,58.573,-2245796,-1665526,1417309,1992340
2026-02-15 14:44:16.744,58.766,-299047,281223,1935723,2510753
2026-02-15 14:44:16.937,58.960,-567091,13179,-561228,13803
2026-02-15 14:44:17.130,59.153,-565161,15109,-561612,13418
2026-02-15 14:44:17.324,59.346,-2263980,-1683710,-570480,4551
2026-02-15 14:44:17.517,59.540,-569289,10981,-591221,-16190
2026-02-15 14:44:17.710,59.733,-565357,14913,-599208,-24178
2026-02-15 14:44:17.904,59.926,-570387,9883,-564929,10101
